"","fips","state","county","population"
"1","01001","Alabama","Autauga County",56145
"2","01003","Alabama","Baldwin County",229287
"3","01005","Alabama","Barbour County",24589
"4","01007","Alabama","Bibb County",22136
"5","01009","Alabama","Blount County",57879
"6","01011","Alabama","Bullock County",9976
"7","01013","Alabama","Butler County",19504
"8","01015","Alabama","Calhoun County",113469
"9","01017","Alabama","Chambers County",32865
"10","01019","Alabama","Cherokee County",26294
"11","01021","Alabama","Chilton County",44397
"12","01023","Alabama","Choctaw County",12418
"13","01025","Alabama","Clarke County",23291
"14","01027","Alabama","Clay County",13112
"15","01029","Alabama","Cleburne County",14967
"16","01031","Alabama","Coffee County",53230
"17","01033","Alabama","Colbert County",55411
"18","01035","Alabama","Conecuh County",11851
"19","01037","Alabama","Coosa County",10650
"20","01039","Alabama","Covington County",36930
"21","01041","Alabama","Crenshaw County",13681
"22","01043","Alabama","Cullman County",84515
"23","01045","Alabama","Dale County",48959
"24","01047","Alabama","Dallas County",36098
"25","01049","Alabama","DeKalb County",71658
"26","01051","Alabama","Elmore County",82158
"27","01053","Alabama","Escambia County",36281
"28","01055","Alabama","Etowah County",102371
"29","01057","Alabama","Fayette County",16241
"30","01059","Alabama","Franklin County",31507
"31","01061","Alabama","Geneva County",26411
"32","01063","Alabama","Greene County",7990
"33","01065","Alabama","Hale County",14670
"34","01067","Alabama","Henry County",17223
"35","01069","Alabama","Houston County",106580
"36","01071","Alabama","Jackson County",51582
"37","01073","Alabama","Jefferson County",655342
"38","01075","Alabama","Lamar County",13764
"39","01077","Alabama","Lauderdale County",93368
"40","01079","Alabama","Lawrence County",32857
"41","01081","Alabama","Lee County",166831
"42","01083","Alabama","Limestone County",102228
"43","01085","Alabama","Lowndes County",9641
"44","01087","Alabama","Macon County",17895
"45","01089","Alabama","Madison County",379453
"46","01091","Alabama","Marengo County",18733
"47","01093","Alabama","Marion County",29703
"48","01095","Alabama","Marshall County",96990
"49","01097","Alabama","Mobile County",412716
"50","01099","Alabama","Monroe County",20459
"51","01101","Alabama","Montgomery County",224639
"52","01103","Alabama","Morgan County",119883
"53","01105","Alabama","Perry County",8687
"54","01107","Alabama","Pickens County",19793
"55","01109","Alabama","Pike County",32966
"56","01111","Alabama","Randolph County",22920
"57","01113","Alabama","Russell County",58237
"58","01115","Alabama","St. Clair County",90739
"59","01117","Alabama","Shelby County",221428
"60","01119","Alabama","Sumter County",12225
"61","01121","Alabama","Talladega County",79985
"62","01123","Alabama","Tallapoosa County",40133
"63","01125","Alabama","Tuscaloosa County",210758
"64","01127","Alabama","Walker County",63143
"65","01129","Alabama","Washington County",15976
"66","01131","Alabama","Wilcox County",10206
"67","01133","Alabama","Winston County",23508
"68","02013","Alaska","Aleutians East Borough",3401
"69","02016","Alaska","Aleutians West Census Area",5680
"70","02020","Alaska","Anchorage Municipality",287095
"71","02050","Alaska","Bethel Census Area",18437
"72","02060","Alaska","Bristol Bay Borough",788
"73","02063","Alaska","Chugach Census Area",6427
"74","02066","Alaska","Copper River Census Area",2919
"75","02068","Alaska","Denali Borough",2081
"76","02070","Alaska","Dillingham Census Area",4833
"77","02090","Alaska","Fairbanks North Star Borough",95651
"78","02100","Alaska","Haines Borough",2614
"79","02105","Alaska","Hoonah-Angoon Census Area",2141
"80","02110","Alaska","Juneau City and Borough",31849
"81","02122","Alaska","Kenai Peninsula Borough",59414
"82","02130","Alaska","Ketchikan Gateway Borough",13747
"83","02150","Alaska","Kodiak Island Borough",12992
"84","02158","Alaska","Kusilvak Census Area",8328
"85","02164","Alaska","Lake and Peninsula Borough",1493
"86","02170","Alaska","Matanuska-Susitna Borough",110213
"87","02180","Alaska","Nome Census Area",9909
"88","02185","Alaska","North Slope Borough",9294
"89","02188","Alaska","Northwest Arctic Borough",7644
"90","02195","Alaska","Petersburg Borough",3296
"91","02198","Alaska","Prince of Wales-Hyder Census Area",6147
"92","02220","Alaska","Sitka City and Borough",8405
"93","02230","Alaska","Skagway Municipality",1179
"94","02240","Alaska","Southeast Fairbanks Census Area",6957
"95","02275","Alaska","Wrangell City and Borough",2510
"96","02282","Alaska","Yakutat City and Borough",637
"97","02290","Alaska","Yukon-Koyukuk Census Area",5077
"98","04001","Arizona","Apache County",71875
"99","04003","Arizona","Cochise County",127450
"100","04005","Arizona","Coconino County",142481
"101","04007","Arizona","Gila County",54303
"102","04009","Arizona","Graham County",39211
"103","04011","Arizona","Greenlee County",9341
"104","04012","Arizona","La Paz County",21480
"105","04013","Arizona","Maricopa County",4579081
"106","04015","Arizona","Mohave County",217206
"107","04017","Arizona","Navajo County",112112
"108","04019","Arizona","Pima County",1061175
"109","04021","Arizona","Pinal County",480828
"110","04023","Arizona","Santa Cruz County",46808
"111","04025","Arizona","Yavapai County",240226
"112","04027","Arizona","Yuma County",217824
"113","05001","Arkansas","Arkansas County",17383
"114","05003","Arkansas","Ashley County",19339
"115","05005","Arkansas","Baxter County",42242
"116","05007","Arkansas","Benton County",288774
"117","05009","Arkansas","Boone County",37625
"118","05011","Arkansas","Bradley County",10639
"119","05013","Arkansas","Calhoun County",5113
"120","05015","Arkansas","Carroll County",28276
"121","05017","Arkansas","Chicot County",9924
"122","05019","Arkansas","Clark County",22103
"123","05021","Arkansas","Clay County",14375
"124","05023","Arkansas","Cleburne County",24935
"125","05025","Arkansas","Cleveland County",7957
"126","05027","Arkansas","Columbia County",23331
"127","05029","Arkansas","Conway County",21037
"128","05031","Arkansas","Craighead County",112245
"129","05033","Arkansas","Crawford County",63409
"130","05035","Arkansas","Crittenden County",47616
"131","05037","Arkansas","Cross County",16142
"132","05039","Arkansas","Dallas County",6802
"133","05041","Arkansas","Desha County",11110
"134","05043","Arkansas","Drew County",17977
"135","05045","Arkansas","Faulkner County",126919
"136","05047","Arkansas","Franklin County",17897
"137","05049","Arkansas","Fulton County",12381
"138","05051","Arkansas","Garland County",99789
"139","05053","Arkansas","Grant County",18449
"140","05055","Arkansas","Greene County",45597
"141","05057","Arkansas","Hempstead County",21253
"142","05059","Arkansas","Hot Spring County",33787
"143","05061","Arkansas","Howard County",13109
"144","05063","Arkansas","Independence County",37757
"145","05065","Arkansas","Izard County",13613
"146","05067","Arkansas","Jackson County",16636
"147","05069","Arkansas","Jefferson County",65377
"148","05071","Arkansas","Johnson County",26513
"149","05073","Arkansas","Lafayette County",6596
"150","05075","Arkansas","Lawrence County",16410
"151","05077","Arkansas","Lee County",8513
"152","05079","Arkansas","Lincoln County",12944
"153","05081","Arkansas","Little River County",12180
"154","05083","Arkansas","Logan County",21410
"155","05085","Arkansas","Lonoke County",73921
"156","05087","Arkansas","Madison County",16644
"157","05089","Arkansas","Marion County",16790
"158","05091","Arkansas","Miller County",43177
"159","05093","Arkansas","Mississippi County",40066
"160","05095","Arkansas","Monroe County",6584
"161","05097","Arkansas","Montgomery County",9006
"162","05099","Arkansas","Nevada County",8099
"163","05101","Arkansas","Newton County",7602
"164","05103","Arkansas","Ouachita County",23167
"165","05105","Arkansas","Perry County",10327
"166","05107","Arkansas","Phillips County",17299
"167","05109","Arkansas","Pike County",10643
"168","05111","Arkansas","Poinsett County",23283
"169","05113","Arkansas","Polk County",19707
"170","05115","Arkansas","Pope County",64334
"171","05117","Arkansas","Prairie County",7966
"172","05119","Arkansas","Pulaski County",392980
"173","05121","Arkansas","Randolph County",18247
"174","05123","Arkansas","St. Francis County",24682
"175","05125","Arkansas","Saline County",123968
"176","05127","Arkansas","Scott County",10164
"177","05129","Arkansas","Searcy County",7842
"178","05131","Arkansas","Sebastian County",127590
"179","05133","Arkansas","Sevier County",16702
"180","05135","Arkansas","Sharp County",17424
"181","05137","Arkansas","Stone County",12674
"182","05139","Arkansas","Union County",38219
"183","05141","Arkansas","Van Buren County",16541
"184","05143","Arkansas","Washington County",243216
"185","05145","Arkansas","White County",78729
"186","05147","Arkansas","Woodruff County",6264
"187","05149","Arkansas","Yell County",21181
"188","06001","California","Alameda County",1662323
"189","06003","California","Alpine County",1119
"190","06005","California","Amador County",40083
"191","06007","California","Butte County",212744
"192","06009","California","Calaveras County",46308
"193","06011","California","Colusa County",21558
"194","06013","California","Contra Costa County",1152333
"195","06015","California","Del Norte County",27968
"196","06017","California","El Dorado County",192925
"197","06019","California","Fresno County",1000918
"198","06021","California","Glenn County",28283
"199","06023","California","Humboldt County",134977
"200","06025","California","Imperial County",180267
"201","06027","California","Inyo County",18046
"202","06029","California","Kern County",901362
"203","06031","California","Kings County",152692
"204","06033","California","Lake County",64479
"205","06035","California","Lassen County",30016
"206","06037","California","Los Angeles County",9943046
"207","06039","California","Madera County",157761
"208","06041","California","Marin County",257332
"209","06043","California","Mariposa County",17160
"210","06045","California","Mendocino County",86061
"211","06047","California","Merced County",279252
"212","06049","California","Modoc County",8763
"213","06051","California","Mono County",14534
"214","06053","California","Monterey County",430906
"215","06055","California","Napa County",135965
"216","06057","California","Nevada County",99606
